species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME034,plant_1,1,1583257778,0,20200303 11:49:38,11:49:38,1583257778,0.000432704,-1.084338001,399.933,451.4234413,44.82505169,39.71219869,0.028079764,3.429944866,0.027952678,0.017481794,1.73514E-06,25.40912854,25.0046,3.180549714,51.30013798,1.681070605,3.276931937,1.499479109,-19.08225223,92.77194964,5.735961454,79.4256606,-0.04113883,0.046181941,3.452237226,0,0,1,0,52718.61506,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,-,0,0,#DIV/0!,0.5,0.000182664,-1.084338001,#DIV/0!,#DIV/0!,-1522.642673,#DIV/0!,-,0,0,#DIV/0!,1,0,1.150974796,2004,300,300,300,7105.79,632.012,-0.00591019,2.67719,0.00434958,0.000182664,0.041995884,0.009499069,1583257778,399.933,399.662,16.9297,16.8032,500.03,99.0973,0.199829,25.5063,25.0046,999.9,0,0,10011.2,0,0.227399,0.343597,406.893,406.492,0.123409,398.614,399.662,16.7227,16.8032,1.67739,1.66516,14.6887,14.5754,0.00434958,0,0,0,150.7,0.00499951,-1.9,0.2,38.125,42.5,40.625,42.562,41.187,0,0,0,1583258129,146.5769231,4.184615534,-47.57606884,4.861538462,15,1583257800,11:49:59,3,1.319,0.207,400,17,0.51,0.2,400.0311905,-0.140415584,0.011834651,1,1.499000953,-0.001278997,0.000963216,1,2,2,2/2,2.96326,2.79156,0.0928128,0.0955816,0.0878292,0.0905737,20905.3,27178.6,23353.2,27731.2,31071.1,33432,37299.7,40098.5,1.98687,2.03655,0.00525266,0,24.9184,999.9,62.636,26.496,21.9609,61.4491,32.3197,1,0.0398222,1.80923,20.1939,5.26461,12.0159,4.99945,3.288,824.3,9999,9999,9999,1.87883,1.8839,1.88183,1.87897,1.87866,1.88083,1.87979,1.87577,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.319,0.207,2,511.547,520.643,23.3079,27.7307,30.0001,27.6388,27.5821,20.3093,29.8313,71.1255,23.3051,399.634,16.8449,99.4705,100.025
ME034,plant_1,2,1583258050,271.5,20200303 11:54:09,11:54:09,1583258050,0.00032254,1.94251184,399.965,241.8276613,24.01239056,39.71471146,0.020760705,3.430927215,0.020691166,0.012938207,8.210736358,25.55258862,24.9991,3.179506981,50.71357567,1.669454687,3.291928571,1.510052295,-14.22400279,108.0398953,6.68044479,108.7070736,-0.041153739,0.046198678,3.453227654,0,0,1,0,52723.3143,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2005-20200303-12_00_00,219.4787308,589.323,0.627574809,0.5,42.01946089,1.94251184,13.18517757,0.751918727,0.065415336,-0.051923074,DARK-2006-20200303-12_00_03,146.2,443.123,0.834631173,-0.07417628,0.716704487,-0.063035127,2005,300,300,300,7112.03,572.332,-0.00588059,-4.1214,49.8628,42.01946089,0.842701591,0.195403182,1583258050,399.965,400.581,16.813,16.7187,500.056,99.0956,0.199867,25.5832,24.9991,999.9,0,0,10015,0,6.19662,-0.61618,406.805,407.392,0.0942326,398.649,400.581,16.614,16.7187,1.66609,1.65675,14.5841,14.4971,49.8628,0.899834,0.100166,0,217.596,4.99951,135.877,404.842,37.5,41.937,40.062,42.125,41,40.37,4.49,0,271.3,219.4787308,-15.06492309,-8.109880365,137.5723077,15,1583257976,11:52:56,4,1.316,0.199,400,17,0.52,0.22,399.9684286,0.212727273,0.01239651,1,1.509906631,0.016336621,0.001876894,1,2,2,2/2,2.96339,2.79163,0.092819,0.0957465,0.0874088,0.0902394,20918.1,27181.7,23367.4,27739.2,31104.8,33454.7,37322.8,40111.1,1.98805,2.03405,0.0271201,0,24.554,999.9,60.225,26.888,21.6089,61.9491,32.2516,1,0.0316057,0.635419,20.2008,5.26431,12.0159,4.99945,3.288,824.3,9999,9999,9999,1.87895,1.88398,1.88187,1.87898,1.87868,1.88093,1.87986,1.87581,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.316,0.199,2,512.268,518.844,24.3818,27.6511,29.9997,27.6279,27.5846,20.3565,28.7847,68.4977,24.3789,400.68,16.7142,99.5316,100.055
ME034,plant_1,3,1583258200,422,20200303 11:56:40,11:56:40,1583258200,0.000413198,1.96989119,399.961,274.0173238,27.20834164,39.71382312,0.026894892,3.418346717,0.026777887,0.016746649,8.242324091,25.56082166,25.0032,3.180284263,51.11896427,1.685658719,3.297521268,1.494625544,-18.22204609,112.1588381,6.961800415,109.1409165,-0.040962944,0.045984494,3.440543767,0,0,1,0,52483.73546,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2007-20200303-12_02_31,192.4999615,594.429,0.676159875,0.5,42.18577547,1.96989119,14.26216434,0.760442374,0.065806459,-0.060066823,DARK-2008-20200303-12_02_33,142.4,452.029,0.889166488,-0.085763735,0.771248845,-0.073553526,2007,300,300,300,7112.5,571.504,-0.0058814,-5.94342,50.0608,42.18577547,0.842690797,0.195381595,1583258200,399.961,400.596,16.9764,16.8556,499.996,99.0938,0.200439,25.6118,25.0032,999.9,0,0,9968.75,0,6.19662,-0.634552,406.868,407.464,0.120764,398.582,400.596,16.7684,16.8556,1.68225,1.67028,14.7336,14.623,50.0608,0.900341,0.0996589,0,191.712,4.99951,120.549,406.664,37.062,41.375,39.625,41.687,40.625,40.57,4.49,0,150,192.4999615,-6.399555558,-3.677299171,120.9465,15,1583258113,11:55:13,5,1.379,0.208,401,17,0.47,0.21,399.977,-0.446493506,0.023354412,1,1.494925779,-0.003307165,0.001166627,1,2,2,2/2,2.96339,2.7918,0.0928351,0.0957747,0.0880312,0.0907989,20928.4,27191.8,23378.7,27749.8,31097.9,33446.8,37340.3,40126.3,1.9903,2.0351,0.031136,0,24.4921,999.9,59.162,27.08,21.4687,61.7291,32.4519,1,0.0202693,0.683156,20.201,5.26491,12.0159,4.99935,3.288,824.4,9999,9999,9999,1.8789,1.88394,1.88186,1.87897,1.87866,1.88087,1.8798,1.87578,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.379,0.208,2,512.716,518.56,24.2049,27.4856,29.9995,27.5082,27.4779,20.3632,27.8607,67.3745,24.199,400.579,16.862,99.5788,100.093
ME034,plant_1,4,1583258351,572.5,20200303 11:59:10,11:59:10,1583258351,0.000583163,5.129873938,399.922,176.7540061,17.54902026,39.70625297,0.038185251,3.428612034,0.037950553,0.023740062,16.51921625,25.46854327,24.9396,3.168245592,51.23496331,1.679842511,3.278703451,1.488403082,-25.71748764,106.4327905,6.581301397,103.8158206,-0.041118605,0.046159236,3.450893434,0,0,1,0,52691.89051,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2009-20200303-12_05_01,191.8081923,557.115,0.655711671,0.5,84.41741571,5.129873938,27.67674237,0.746910422,0.070318182,0.002887265,DARK-2010-20200303-12_05_04,141,416.115,0.877898676,0.003850725,0.75503673,0.003313602,2009,300,300,300,7117.47,532.142,-0.00584812,-2.78455,100.158,84.41741571,0.842842466,0.195684932,1583258351,399.922,401.517,16.9194,16.7489,499.995,99.0852,0.199793,25.5154,24.9396,999.9,0,0,10007.5,0,6.19662,-1.59564,406.805,408.357,0.17042,398.52,401.517,16.7074,16.7489,1.67646,1.65957,14.6801,14.5234,100.158,0.900242,0.0997582,0,191.401,4.99951,236.484,852.318,36.812,41,39.25,41.312,40.312,85.67,9.49,0,150.1000001,191.8081923,-2.91367521,-3.996273489,236.5553462,15,1583258265,11:57:44,6,1.402,0.212,401,17,0.29,0.18,399.8919524,0.021506494,0.022586292,1,1.489425103,-0.009798152,0.001147003,1,2,2,2/2,2.96352,2.79149,0.0928458,0.0959631,0.0878152,0.0903987,20937.9,27196.1,23388.9,27759.5,31118.9,33472.6,37356.5,40140,1.99227,2.03523,0.0342354,0,24.3776,999.9,58.125,27.271,21.333,61.369,32.3798,1,0.0102769,0.340776,20.2015,5.26506,12.0159,5.0001,3.288,824.4,9999,9999,9999,1.87895,1.88391,1.88186,1.87897,1.87867,1.88088,1.87983,1.87578,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.402,0.212,2,512.876,517.452,24.2614,27.3363,29.9998,27.3787,27.3562,20.407,27.8475,66.2583,24.2903,401.526,16.7472,99.6222,100.127
ME034,plant_1,5,1583258501,723,20200303 12:01:41,12:01:41,1583258501,0.000525331,4.020020784,400.018,201.4443284,19.99977627,39.71454827,0.033821966,3.429881028,0.033637768,0.021040071,16.48180682,25.56315819,25.0129,3.182123858,50.67266582,1.669494696,3.294665219,1.512629162,-23.16707889,108.0439332,6.68366649,108.0423276,-0.041137861,0.046180853,3.452172863,0,0,1,0,52701.04349,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2011-20200303-12_07_32,188.8079615,575.171,0.671735951,0.5,84.22036708,4.020020784,28.28692417,0.747553336,0.057304738,-0.028595777,DARK-2012-20200303-12_07_34,145.2,429.971,0.898579296,-0.039773943,0.769827617,-0.033881898,2011,300,300,300,7118.31,548.73,-0.00584895,-5.3985,99.9234,84.22036708,0.842849293,0.195698587,1583258501,400.018,401.276,16.8157,16.6621,500.02,99.0821,0.199803,25.5972,25.0129,999.9,0,0,10012.5,0,6.19662,-1.25766,406.86,408.075,0.153605,398.521,401.276,16.6167,16.6621,1.66613,1.65092,14.5845,14.4424,99.9234,0.900001,0.0999989,0,188.828,4.99951,231.586,850.174,36.562,40.687,38.937,41,40.062,85.43,9.49,0,150.1000001,188.8079615,-1.403658107,0.172307679,232.0342308,15,1583258405,12:00:04,7,1.497,0.199,401,17,0.61,0.45,400.0409048,0.006701299,0.013532693,1,1.511836154,0.002979861,0.00053441,1,2,2,2/2,2.9637,2.79155,0.0928697,0.0959428,0.0874856,0.0900786,20946.6,27203.8,23398.7,27766.3,31142.9,33493.2,37371.7,40150.7,1.99393,2.03495,0.0373349,0,24.4,999.9,57.197,27.452,21.2162,61.959,32.52,1,0.00177846,0.651661,20.2002,5.26341,12.0159,5.00005,3.288,824.5,9999,9999,9999,1.87897,1.88398,1.88187,1.87897,1.87871,1.88094,1.87987,1.87584,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.497,0.199,2,512.945,516.146,24.2394,27.2146,29.9998,27.264,27.2438,20.4062,27.8475,65.1378,24.2336,401.335,16.716,99.6632,100.153
ME034,plant_1,6,1583258652,873.5,20200303 12:04:11,12:04:11,1583258652,0.001056839,8.609106772,399.897,192.9284938,19.15248715,39.69876094,0.069640379,3.434868491,0.068865397,0.043109783,33.015188,25.36847976,24.8975,3.160298522,51.29060475,1.67391245,3.263584936,1.486386071,-46.6066206,100.0160583,6.169533335,92.59415904,-0.041213576,0.046265849,3.457201354,0,0,1,0,52822.04154,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2013-20200303-12_10_02,191.7118462,461.583,0.584664413,0.5,168.5710009,8.609106772,49.27873268,0.752590542,0.055853688,0.210450858,DARK-2014-20200303-12_10_05,114.2,347.383,0.776869202,0.218527322,0.69501661,0.200110258,2013,300,300,300,7127.54,449.074,-0.0057822,0.901978,199.983,168.5710009,0.842926654,0.195853307,1583258652,399.897,402.583,16.8618,16.5528,500.007,99.0725,0.199965,25.4376,24.8975,999.9,0,0,10031.9,0,6.19662,-2.68591,406.756,409.359,0.309017,398.439,402.583,16.6448,16.5528,1.67054,1.63992,14.6253,14.3391,199.983,0.899961,0.100039,0,191.618,4.99951,465.241,1740.23,36.5,40.5,38.812,40.75,39.937,175.48,19.51,0,150.1000001,191.7118462,-2.339350417,-4.39962393,466.0138846,15,1583258567,12:02:47,8,1.458,0.217,402,17,0.47,0.21,399.9181429,0.466441558,0.027547856,1,1.489341697,-0.000591914,0.000569968,1,2,2,2/2,2.96375,2.79188,0.0928697,0.0961952,0.0876074,0.0896599,20954.9,27202,23407.8,27771.9,31150.5,33515.6,37385.8,40159.2,1.99522,2.03472,0.03732,0,24.2848,999.9,56.416,27.634,21.1522,61.8391,32.4038,1,-0.00572409,0.182168,20.201,5.26476,12.0159,4.9995,3.288,824.5,9999,9999,9999,1.87897,1.88398,1.88187,1.87897,1.87869,1.8809,1.87984,1.87577,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.458,0.217,2,512.914,515.004,24.2731,27.1205,29.9997,27.165,27.1443,20.4716,28.1621,64.3866,24.3205,402.732,16.5676,99.7011,100.174
ME034,plant_1,7,1583258802,1024,20200303 12:06:42,12:06:42,1583258802,0.000771945,9.395082028,399.987,91.23290849,9.056518031,39.70595191,0.050014752,3.415264817,0.049611384,0.031043085,33.01502291,25.57624554,25.0303,3.185426081,50.99875875,1.678673307,3.291596399,1.506752775,-34.04276564,101.4890148,6.305096821,106.7663689,-0.040916251,0.045932076,3.437436566,0,0,1,0,52431.07194,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2015-20200303-12_12_33,193.8158077,510.175,0.620099363,0.5,168.570158,9.395082028,52.26512377,0.709903464,0.060516567,0.09516056,DARK-2016-20200303-12_12_35,148,362.175,0.87349815,0.118202474,0.724122088,0.100010363,2015,300,300,300,7127.91,488.192,-0.00578265,-0.310425,199.982,168.570158,0.842926654,0.195853307,1583258802,399.987,402.873,16.9105,16.6848,499.987,99.0678,0.200306,25.5815,25.0303,999.9,0,0,9960,0,6.19662,-2.88644,406.867,409.709,0.22567,398.559,402.873,16.7185,16.6848,1.67528,1.65293,14.6693,14.4613,199.982,0.899961,0.100039,0,193.876,4.99951,471.67,1740.22,36.375,40.312,38.687,40.625,39.875,175.48,19.51,0,150.1000001,193.8158077,1.262803411,-0.908273509,471.6011923,15,1583258700,12:05:00,9,1.428,0.192,403,17,0.57,0.2,399.9988095,-0.167688312,0.014063187,1,1.508164522,-0.004555106,0.001241106,1,2,2,2/2,2.96378,2.79159,0.0929088,0.0962668,0.0879086,0.0901967,20962.2,27207,23416.5,27778.9,31151.7,33503.8,37399.8,40168.8,1.99668,2.03468,0.0424534,0,24.3334,999.9,55.598,27.785,21.0316,62.189,32.5601,1,-0.0122205,0.759997,20.1987,5.26401,12.0159,5.0009,3.288,824.5,9999,9999,9999,1.87897,1.88398,1.88187,1.87897,1.87869,1.88087,1.87983,1.87579,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.428,0.192,2,513.065,514.078,24.1339,27.0308,29.9999,27.0743,27.0538,20.4929,26.9737,63.2718,24.1184,402.997,16.7285,99.7384,100.199
ME034,plant_1,8,1583258953,1174.5,20200303 12:09:12,12:09:12,1583258953,0.001804508,14.78139198,399.905,191.6614552,19.02614085,39.6983778,0.119626878,3.419031106,0.117349326,0.073544346,66.0605389,25.23534657,24.8577,3.152801639,51.37187531,1.66334024,3.237842166,1.489461399,-79.57881604,82.33878379,5.098189211,73.91869586,-0.040973316,0.045996137,3.441233777,0,0,1,0,52550.06293,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2017-20200303-12_15_03,202.2917308,392.298,0.484341672,0.5,337.1746451,14.78139198,81.65386569,0.645167704,0.04623004,0.424232442,DARK-2018-20200303-12_15_06,139.2,253.098,0.750722128,0.396701313,0.595613129,0.342837892,2017,300,300,300,7146.14,384.65,-0.00564767,3.37259,399.988,337.1746451,0.842961902,0.195923803,1583258953,399.905,404.515,16.7558,16.2282,500.065,99.0692,0.200321,25.3044,24.8577,999.9,0,0,9973.75,0,6.19662,-4.61011,406.72,411.188,0.527565,398.469,404.515,16.5388,16.2282,1.65998,1.60772,14.5272,14.033,399.988,0.900012,0.0999878,0,202.589,4.99951,975.499,3519.4,36.625,40.25,38.687,40.562,39.937,355.49,39.49,0,150.0999999,202.2917308,0.811521359,6.515316225,975.0758077,15,1583258880,12:08:00,10,1.436,0.217,403,17,0.39,0.26,399.8936667,0.476883117,0.026658927,1,1.483264992,0.045662084,0.004959219,1,2,2,2/2,2.96403,2.79172,0.092908,0.0965797,0.0872262,0.0884034,20967.4,27201.5,23422.1,27782.7,31182.6,33574.3,37408.5,40174.6,1.99795,2.0334,0.0442415,0,24.1312,999.9,54.865,27.946,20.9517,61.859,32.5441,1,-0.017721,-0.0669009,20.1991,5.26371,12.0159,5.00085,3.288,824.6,9999,9999,9999,1.87897,1.884,1.88187,1.87899,1.87873,1.88092,1.87988,1.87582,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.436,0.217,2,513.329,512.481,24.2276,26.9763,29.9999,27.0084,26.9848,20.5602,29.2403,62.1484,24.2815,404.572,16.1563,99.7619,100.213
ME034,plant_1,9,1583259103,1325,20200303 12:11:43,12:11:43,1583259103,0.001302549,15.78416329,399.984,93.61275217,9.293719762,39.70975235,0.08510225,3.429782538,0.083946325,0.052569,66.06291811,25.50300094,25.0301,3.185388108,51.49429982,1.682708499,3.26775683,1.502679608,-57.44240168,79.32486113,4.904242485,92.84962004,-0.041136367,0.046179175,3.452073563,0,0,1,0,52723.51309,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2019-20200303-12_17_34,205.6547692,413.439,0.502575303,0.5,337.1849718,15.78416329,84.73041972,0.642994493,0.049202574,0.351405016,DARK-2020-20200303-12_17_36,147.6,265.839,0.781616809,0.353384141,0.610859626,0.299287269,2019,300,300,300,7146.18,404.13,-0.00564774,2.89478,400,337.1849718,0.84296243,0.195924859,1583259103,399.984,404.833,16.9494,16.5686,500.016,99.0785,0.199852,25.4591,25.0301,999.9,0,0,10012.5,0,6.19662,-4.84879,406.88,411.653,0.380791,398.556,404.833,16.7664,16.5686,1.67932,1.64159,14.7066,14.3549,400,0.900012,0.0999878,0,206.49,4.99951,991.522,3519.5,36.687,40.25,38.75,40.562,40.062,355.51,39.5,0,150.1000001,205.6547692,1.633982894,8.635555568,990.5454615,15,1583259022,12:10:22,11,1.428,0.183,405,16,0.47,0.29,399.9429048,0.254493506,0.016973101,1,1.50642909,-0.022629059,0.002446203,1,2,2,2/2,2.96395,2.79159,0.0929464,0.0966624,0.0881289,0.0897739,20970.7,27201.9,23426.6,27785.5,31157.6,33527.8,37416,40179.1,1.9981,2.0338,0.04787,0,24.2442,999.9,53.998,28.097,20.8006,61.729,32.5561,1,-0.0188567,1.34369,20.193,5.26356,12.0159,5.00055,3.288,824.6,9999,9999,9999,1.87897,1.88399,1.88187,1.879,1.87872,1.8809,1.87988,1.87586,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.428,0.183,2,512.949,512.268,23.3849,26.9271,29.9999,26.9576,26.9339,20.5852,26.2433,61.4046,23.3801,404.759,16.6682,99.7816,100.224
ME034,plant_1,10,1583259254,1475.5,20200303 12:14:13,12:14:13,1583259254,0.002042245,18.12709743,399.999,174.7090849,17.34274697,39.70647233,0.135399818,3.427104219,0.132496644,0.083066057,98.01393925,25.1870282,24.8696,3.155041539,51.81880613,1.662117087,3.207555734,1.492924452,-90.06301388,51.16060961,3.157938644,62.26947363,-0.041095728,0.046133555,3.449373222,0,0,1,0,52728.53436,MPF-2004-20200303-11_55_29,73.28846154,558.7235385,485.4350769,0.868828756,-0.806205304,MPF-2021-20200303-12_20_04,209.3340769,341.994,0.387901317,0.5,505.256343,18.12709743,97.99480048,0.556132564,0.037472667,0.633723219,DARK-2022-20200303-12_20_07,151.8,190.194,0.697497939,0.532605067,0.493699995,0.44646452,2021,300,300,300,7144.69,336.474,-0.00549897,3.85712,600.071,505.256343,0.841994269,0.193988538,1583259254,399.999,405.633,16.744,16.1468,499.995,99.0667,0.199729,25.1465,24.8696,999.9,0,0,10003.8,0,6.19662,-5.63455,406.81,412.291,0.597197,398.615,405.633,16.535,16.1468,1.65877,1.59961,14.5159,13.955,600.071,0.932961,0.0670392,0,209.56,4.99951,1511.89,5350.89,37.062,40.312,38.937,40.625,40.25,555.18,39.89,0,150,209.3340769,-1.094564096,-13.11418804,1513.528846,15,1583259178,12:12:57,12,1.384,0.209,405,17,0.41,0.38,399.9639048,0.515064935,0.028630495,0,1.48528129,0.037560221,0.004047508,1,1,2,1/2,2.96392,2.79139,0.0929536,0.0968035,0.0872289,0.088097,20975,27200.6,23431.5,27788.4,31195.2,33592.8,37423.7,40183.4,1.99885,2.03202,0.052508,0,24.0073,999.9,53.131,28.248,20.6491,61.819,32.7003,1,-0.0231326,0.32436,20.1961,5.26042,12.0159,4.99785,3.28725,824.7,9999,9999,9999,1.87897,1.884,1.88187,1.87899,1.87874,1.88092,1.87985,1.87589,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.384,0.209,2,513.077,510.55,23.5962,26.8949,29.9999,26.9161,26.8886,20.6221,28.3836,60.6593,23.6077,405.679,16.2101,99.8022,100.234
