obs,time,elapsed,date,hhmmss,Round,ShrubID,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1567181918,0,20190830 10:18:37,10:18:37,1,1,1567181913,-2.67035E-05,-0.004969049,400.4775556,366.9378678,30.81152543,33.6278304,-0.000725704,1.762514055,-0.00072587,-0.000453654,319.6258975,36.8482841,34.83762778,5.59778128,50.17717009,2.660596083,5.302403619,2.937185197,1.177625614,-92.58126627,-12.19002077,216.0322361,-0.001009998,0.019507253,2.369210258,0,0,1,0,43416.48796,1672.558333,819.5535833,0.49,0.39,36,0.5,0: Broadleaf,1567181913,400.4775556,400.4211667,31.68533333,31.77842222,999.9765556,83.86938333,0.099942628,33.8633,34.83762778,33.68345,0,0,10014.57889,1672.558333,240.3291111,1567181935,10:18:55,1,-0.579,0.292,400,32,0.3,0.19,0.61168839,0.41325784,0.072533361,0,-0.379766098,-0.062271031,0.008752646,1,1,2,1/2,100,100,-0.579,0.292,2,1096.01,543.636,31.945,31.8573,30.0011,31.5472,31.4776,30.1785,19.8734,97.529,-999.9,400,31.8959,100.828,101.656
2,1567182331,413,20190830 10:25:30,10:25:30,1,1,1567182326,0.000126685,0.278503894,398.7769444,232.8726208,19.54864879,33.47559884,0.003074338,1.759399733,0.003071357,0.001919866,335.5456953,37.90238311,36.20051111,6.034902022,49.21023072,2.753636788,5.59565917,3.281265234,-5.586790439,-129.921931,-17.33256713,182.7044067,-0.001006684,0.019443243,2.364105157,0,0,1,0,43143.31111,1755.864444,860.3735778,0.49,0.39,36,0.5,0: Broadleaf,1567182326,398.7769444,399.9614444,32.80260556,32.36149444,999.9848333,83.84563333,0.100039311,34.83078889,36.20051111,35.02938889,0,0,9984.545,1755.864444,282.0476667,1567182227,10:23:46,2,-0.569,0.293,400,33,0.68,0.2,-1.185744146,-0.069937213,0.040694359,1,0.430830951,0.109242293,0.030987866,0,1,2,1/2,100,100,-0.569,0.293,2,1091.07,533.381,33.3851,32.9218,30.0007,32.558,32.475,30.1533,20.4801,97.2347,-999.9,400,32.8056,100.617,101.519
3,1567182351,433.5,20190830 10:25:51,10:25:51,1,1,1567182346,9.61203E-05,0.301522756,398.9692778,169.5316026,14.23174294,33.49244693,0.002294645,1.761137474,0.002292986,0.001433265,335.3774212,38.09187312,36.44591667,6.116683137,49.25812503,2.784227164,5.652320632,3.332455974,-4.238905338,-136.08621,-18.174724,176.8775819,-0.001008532,0.019478938,2.366953067,3,0,1,0,43193.80389,1754.983889,859.9421056,0.49,0.39,36,0.5,0: Broadleaf,1567182346,398.9692778,400.1928333,33.16631667,32.83175556,999.9860556,83.84701111,0.100422417,35.01262222,36.44591667,35.21711667,0,0,10002.71111,1754.983889,281.8982222,1567182227,10:23:46,2,-0.569,0.293,400,33,0.68,0.2,-0.811275001,-1.715008055,0.519290293,0,0.208759507,0.663826011,0.140091027,0,0,2,0/2,100,100,-0.569,0.293,2,1087.53,530.056,33.4678,32.9645,30.0009,32.6049,32.5236,30.1315,19.8802,98.1025,-999.9,400,33.1217,100.609,101.514
4,1567182426,508,20190830 10:27:05,10:27:05,1,1,1567182421,0.000111766,0.238580412,398.9507778,231.0226863,19.3937857,33.49093552,0.002610435,1.761359162,0.002608287,0.001630372,333.88992,38.54849054,36.99607778,6.303529061,50.02818674,2.903604489,5.803937097,3.399924572,-4.928892494,-142.8722912,-19.17418094,166.9145554,-0.001008768,0.019483496,2.367316502,0,0,1,0,43136.44602,1747.2,856.128,0.49,0.39,36,0.5,0: Broadleaf,1567182421,398.9507778,399.9701667,34.58832222,34.19988889,1000.021444,83.84775,0.09978785,35.4915,36.99607778,35.82495556,0,0,10004.96333,1747.2,282.7317222,1567182446,10:27:25,3,-0.549,0.322,400,34,0.32,0.25,-0.997910244,-0.52883722,0.068899518,0,0.255913268,1.017377352,0.10280079,0,0,2,0/2,100,100,-0.549,0.322,2,1092.03,522.591,33.8264,33.1439,30.001,32.7799,32.7014,30.0694,16.7895,100,-999.9,400,34.192,100.571,101.488
5,1567182730,812.5,20190830 10:32:10,10:32:10,1,3,1567182725,0.000676388,0.577787577,396.9063333,304.6538883,25.57867606,33.32417184,0.014190185,1.760912047,0.014126962,0.008835008,304.4563795,38.2491825,38.24128333,6.744821937,50.37636987,2.957152845,5.870118972,3.787669091,-29.82871865,-241.5270745,-32.65144012,0.449146192,-0.001008292,0.019474305,2.366583531,4,0,1,0,43088.45914,1593.178333,780.6573833,0.49,0.39,36,0.5,0: Broadleaf,1567182725,396.9063333,399.9528333,35.22106111,32.87182778,1000.000389,83.85971111,0.100077494,35.69713333,38.24128333,38.67485,0,0,9998.817222,1593.178333,318.7565,1567182750,10:32:30,4,-0.609,0.265,400,33,0.36,0.06,-2.968578049,-0.185347944,0.069471251,0,2.320643415,0.810837073,0.081515626,0,0,2,0/2,100,100,-0.609,0.265,2,1086.59,515.442,34.9841,34.0344,30.0012,33.6046,33.5116,30.1188,22.4081,100,-999.9,400,32.6567,100.399,101.375
6,1567182783,865,20190830 10:33:02,10:33:02,1,3,1567182778,0.000621242,0.579853853,397.0787222,297.3057845,24.96219746,33.33926882,0.012801814,1.75965634,0.012750297,0.007973547,305.5174092,38.70779528,38.45303333,6.822471207,49.42598291,2.970127915,6.009244004,3.852343293,-27.39676458,-221.0497015,-29.99675332,27.07418981,-0.001006957,0.019448511,2.364525595,4,0,1,0,42974.46614,1598.730556,783.3779722,0.49,0.39,36,0.5,0: Broadleaf,1567182778,397.0787222,400.0541667,35.37493889,33.21764444,1000.028333,83.86132222,0.100035956,36.12292222,38.45303333,38.90872778,0,0,9985.381667,1598.730556,319.1739444,1567182803,10:33:22,5,-0.617,0.279,400,33,0.49,0.06,-2.965477805,-0.036574704,0.054589746,1,2.101693659,0.457595958,0.046805074,0,1,2,1/2,100,100,-0.617,0.279,2,1086.5,515.083,35.128,34.186,30.0011,33.7452,33.6497,30.128,21.0376,100,-999.9,400,33.4311,100.371,101.358
7,1567182836,918.5,20190830 10:33:56,10:33:56,1,3,1567182831,0.000687676,0.559437482,397.1601667,306.6564016,25.74705834,33.3458096,0.014222933,1.758937875,0.014159348,0.008855282,306.0818973,38.35904141,38.43118333,6.814423038,50.40021287,2.974422131,5.901606286,3.840000907,-30.32650588,-250.0536879,-33.88914183,-8.187438317,-0.001006193,0.019433765,2.363348514,5,1,1,0,42988.88738,1601.684444,784.8253778,0.49,0.39,36,0.5,0: Broadleaf,1567182831,397.1601667,400.1573333,35.4264,33.03849444,1000.010389,83.86045,0.100159344,35.79426111,38.43118333,38.85532778,0,0,9977.914444,1601.684444,320.0552778,1567182864,10:34:24,6,-0.616,0.265,400,33,0.36,0.04,-2.97040439,-0.204181463,0.048118911,0,2.309883171,0.890659861,0.092029645,0,0,2,0/2,100,100,-0.616,0.265,2,1085.25,514.408,35.292,34.3316,30.001,33.8834,33.7869,30.1098,22.8131,100,-999.9,400,33.0051,100.345,101.341
8,1567183094,1176.5,20190830 10:38:14,10:38:14,1,5,1567183089,0.000393881,0.396277111,397.9610556,279.6749919,23.47942074,33.40983403,0.007179328,1.759409717,0.007163093,0.004478389,285.6009672,39.04133724,39.15683333,7.086156095,44.5421303,2.739973832,6.151420719,4.346182262,-17.37013313,-247.3336597,-33.75208001,-12.85490572,-0.001006694,0.019443448,2.364121514,8,1,1,0,42904.37284,1494.510556,732.3101722,0.49,0.39,36,0.5,0: Broadleaf,1567183089,397.9610556,399.9518333,32.63718333,31.26557222,1000.058611,83.85257778,0.099943617,36.54929444,39.15683333,38.57740556,0,0,9983.823333,1494.510556,325.9481111,1567183116,10:38:35,7,-0.634,0.222,400,31,0.35,0.05,-1.991753171,0.129843345,0.042739147,0,1.42679878,-0.123260906,0.015881231,0,0,2,0/2,100,100,-0.634,0.222,2,1082.62,510.087,35.7493,34.9481,30.0008,34.5002,34.3992,30.1174,29.5528,98.4964,-999.9,400,31.124,100.208,101.257
9,1567183159,1241.5,20190830 10:39:19,10:39:19,1,5,1567183154,0.000243568,0.436663081,398.2148333,223.4928087,18.76290546,33.4313543,0.004698001,1.759611623,0.004691044,0.002932527,285.8374003,39.01456659,39.33666111,7.154930852,50.01084126,3.061153888,6.120980593,4.093776964,-10.74132831,-273.012264,-37.2681952,-35.18438715,-0.001006909,0.019447593,2.364452326,8,1,1,0,42925.71604,1495.747778,732.9164111,0.49,0.39,36,0.5,0: Broadleaf,1567183154,398.2148333,400.1359444,36.46268333,35.61783333,1000.024944,83.85303889,0.100022389,36.45873333,39.33666111,38.81405556,0,0,9985.896667,1495.747778,326.6216667,1567183178,10:39:38,8,-0.593,0.318,400,36,0.34,0.13,-1.957891707,-0.090014007,0.027508189,1,0.552703585,1.923594,0.189903737,0,1,2,1/2,100,100,-0.593,0.318,2,1082.24,514.143,35.9487,35.0875,30.001,34.6484,34.5502,30.2092,17.7383,100,-999.9,400,35.3377,100.185,101.235
10,1567183207,1289,20190830 10:40:06,10:40:06,1,5,1567183202,0.00030183,0.34510296,398.3608889,275.2988052,23.11250246,33.4440864,0.005817817,1.760778076,0.005807159,0.00363043,285.842921,39.06524641,39.40908333,7.182791622,50.20824195,3.086092166,6.146584795,4.096699456,-13.31070624,-272.8346315,-37.24596673,-37.54838346,-0.001008149,0.019471552,2.366363931,9,1,1,0,42965.89223,1495.776667,732.9305667,0.49,0.39,36,0.5,0: Broadleaf,1567183202,398.3608889,400.0361111,36.75921667,35.71257222,1000.001611,83.85423333,0.1000085,36.53493333,39.40908333,38.88385556,0,0,9998.056667,1495.776667,327.0823889,1567183236,10:40:35,9,-0.564,0.326,400,36,0.29,0.09,-1.629126098,-0.643866063,0.076403269,0,1.031630585,0.14811092,0.023387511,0,0,2,0/2,100,100,-0.564,0.326,2,1080.9,513.187,36.0734,35.1909,30.001,34.7524,34.6543,30.1858,18.4413,100,-999.9,400,35.5144,100.163,101.221
