"block","grazing","fuelbreak","invasive_grass","quadrat"
1,"ungrazed","control",19,100
1,"ungrazed","control",12,100
1,"ungrazed","control",53,100
1,"ungrazed","control",18,100
1,"ungrazed","control",66,100
1,"ungrazed","control",86,100
1,"ungrazed","control",29,100
1,"ungrazed","control",31,100
1,"ungrazed","control",84,100
1,"ungrazed","control",67,100
1,"ungrazed","control",24,100
1,"ungrazed","control",43,100
1,"ungrazed","herbicide",3,100
1,"ungrazed","herbicide",39,100
1,"ungrazed","greenstrip",41,100
1,"ungrazed","greenstrip",82,100
1,"ungrazed","greenstrip",48,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",21,100
1,"ungrazed","greenstrip",35,100
1,"ungrazed","greenstrip",7,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",43,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",74,100
1,"ungrazed","greenstrip",17,100
1,"ungrazed","greenstrip",21,100
1,"ungrazed","greenstrip",36,100
1,"ungrazed","greenstrip",27,100
1,"ungrazed","greenstrip",64,100
1,"ungrazed","greenstrip",104,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",57,100
1,"ungrazed","greenstrip",67,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",32,100
1,"ungrazed","greenstrip",56,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",93,100
1,"ungrazed","greenstrip",51,100
1,"ungrazed","greenstrip",73,100
1,"ungrazed","greenstrip",18,100
1,"fall","control",36,100
1,"fall","control",4,100
1,"fall","control",12,100
1,"fall","control",32,100
1,"fall","control",38,100
1,"fall","control",39,100
1,"fall","control",13,100
1,"fall","control",38,100
1,"fall","control",6,100
1,"fall","control",17,100
1,"fall","control",54,100
1,"fall","control",31,100
1,"fall","herbicide",0,100
1,"fall","herbicide",1,100
1,"fall","herbicide",0,100
1,"fall","herbicide",0,100
1,"fall","greenstrip",9,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",11,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",20,100
1,"fall","greenstrip",12,100
1,"fall","greenstrip",27,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",36,100
1,"fall","greenstrip",51,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",8,100
1,"fall","greenstrip",65,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",27,100
1,"fall","greenstrip",78,100
1,"fall","greenstrip",18,100
1,"fall","greenstrip",0,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",3,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",64,100
1,"fall","greenstrip",22,100
1,"fall","greenstrip",4,100
1,"fall","greenstrip",39,100
1,"fall","greenstrip",0,100
1,"fall","greenstrip",5,100
1,"fall","greenstrip",42,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",22,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",2,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",35,100
1,"fall","greenstrip",45,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",56,100
1,"fall","greenstrip",46,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",15,100
1,"fall","greenstrip",23,100
1,"fall","greenstrip",23,100
1,"fall","greenstrip",47,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",7,100
1,"fall","greenstrip",53,100
1,"fall","greenstrip",68,100
1,"fall","greenstrip",79,100
1,"spring","control",13,100
1,"spring","control",6,100
1,"spring","control",30,100
1,"spring","control",23,100
1,"spring","control",8,100
1,"spring","control",46,100
1,"spring","control",17,100
1,"spring","control",6,100
1,"spring","control",18,100
1,"spring","control",44,100
1,"spring","control",12,100
1,"spring","control",14,100
1,"spring","herbicide",3,10000
1,"spring","herbicide",0,100
1,"spring","greenstrip",23,100
1,"spring","greenstrip",15,100
1,"spring","greenstrip",4,100
1,"spring","greenstrip",20,100
