year,m_start,m_end
1989,1989-07-19,1989-09-30
1990,1990-07-08,1990-09-30
1991,1991-07-09,1991-09-30
1992,1992-07-07,1992-09-30
1993,1993-07-12,1993-09-30
1994,1994-07-17,1994-09-30
1995,1995-07-15,1995-09-30
1996,1996-07-08,1996-09-30
1997,1997-07-24,1997-09-30
1998,1998-08-24,1998-09-30
1999,1999-07-05,1999-09-30
2000,2000-07-10,2000-09-30
2001,2001-07-10,2001-09-30
2003,2003-07-17,2003-09-30
2004,2004-07-25,2004-09-30
2005,2005-07-23,2005-09-30
2006,2006-07-07,2006-09-30
2007,2007-07-11,2007-09-30
2008,2008-07-11,2008-09-30
2009,2009-07-05,2009-09-30
2010,2010-07-18,2010-09-30
2011,2011-07-11,2011-09-30
2012,2012-07-04,2012-09-30
2013,2013-07-16,2013-09-30
2014,2014-07-13,2014-09-30
2015,2015-07-03,2015-09-30
2016,2016-07-06,2016-09-30
2017,2017-07-18,2017-09-30
2018,2018-07-10,2018-09-30
2019,2019-07-07,2019-09-30
2020,2020-07-14,2020-09-30
