source,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
old,1,7,16,1977,2,NL,M,32,NA,Neotoma,albigula,Rodent,Control
old,2,7,16,1977,3,NL,M,33,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
old,3,7,16,1977,2,DM,F,37,NA,Dipodomys,merriami,Rodent,Control
old,4,7,16,1977,7,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,5,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,6,7,16,1977,1,PF,M,14,NA,Perognathus,flavus,Rodent,Spectab exclosure
old,7,7,16,1977,2,PE,F,NA,NA,Peromyscus,eremicus,Rodent,Control
old,8,7,16,1977,1,DM,M,37,NA,Dipodomys,merriami,Rodent,Spectab exclosure
old,9,7,16,1977,1,DM,F,34,NA,Dipodomys,merriami,Rodent,Spectab exclosure
old,10,7,16,1977,6,PF,F,20,NA,Perognathus,flavus,Rodent,Short-term Krat Exclosure
old,11,7,16,1977,5,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
old,12,7,16,1977,7,DM,M,38,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,13,7,16,1977,3,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,14,7,16,1977,8,DM,,NA,NA,Dipodomys,merriami,Rodent,Control
old,15,7,16,1977,6,DM,F,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,16,7,16,1977,4,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
old,17,7,16,1977,3,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
old,18,7,16,1977,2,PP,M,22,NA,Chaetodipus,penicillatus,Rodent,Control
old,19,7,16,1977,4,PF,,NA,NA,Perognathus,flavus,Rodent,Control
old,20,7,17,1977,11,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
old,21,7,17,1977,14,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
old,22,7,17,1977,15,NL,F,31,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
old,23,7,17,1977,13,DM,M,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,24,7,17,1977,13,SH,M,21,NA,Sigmodon,hispidus,Rodent,Short-term Krat Exclosure
old,25,7,17,1977,9,DM,M,35,NA,Dipodomys,merriami,Rodent,Spectab exclosure
old,26,7,17,1977,15,DM,M,31,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,27,7,17,1977,15,DM,M,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,28,7,17,1977,11,DM,M,38,NA,Dipodomys,merriami,Rodent,Control
old,29,7,17,1977,11,PP,M,NA,NA,Chaetodipus,penicillatus,Rodent,Control
old,30,7,17,1977,10,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
old,31,7,17,1977,15,DM,F,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,32,7,17,1977,10,DM,F,35,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,33,7,17,1977,11,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
old,34,7,17,1977,17,DM,,NA,NA,Dipodomys,merriami,Rodent,Control
old,35,7,17,1977,13,DM,F,38,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,36,7,17,1977,16,OT,F,22,NA,Onychomys,torridus,Rodent,Rodent Exclosure
old,37,7,17,1977,11,DM,F,35,NA,Dipodomys,merriami,Rodent,Control
old,38,7,17,1977,17,NL,M,33,NA,Neotoma,albigula,Rodent,Control
old,39,7,17,1977,11,DM,F,36,NA,Dipodomys,merriami,Rodent,Control
old,40,7,18,1977,20,DM,M,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,41,7,18,1977,23,DM,F,34,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,42,7,18,1977,18,DS,F,46,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
old,43,7,18,1977,21,DM,M,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,44,7,18,1977,18,DM,F,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,45,7,18,1977,22,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
old,46,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,47,7,18,1977,18,DM,M,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,48,7,18,1977,20,DM,F,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,49,7,18,1977,12,PP,F,17,NA,Chaetodipus,penicillatus,Rodent,Control
old,50,7,18,1977,18,DM,F,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,51,7,18,1977,21,DM,F,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,52,7,18,1977,12,DM,F,26,NA,Dipodomys,merriami,Rodent,Control
old,53,7,18,1977,22,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
old,54,7,18,1977,18,DM,M,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,55,7,18,1977,23,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,56,7,18,1977,20,DM,M,34,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
old,57,7,18,1977,22,DM,,NA,NA,Dipodomys,merriami,Rodent,Control
old,58,7,18,1977,12,DS,M,45,NA,Dipodomys,spectabilis,Rodent,Control
old,59,7,18,1977,19,DM,M,33,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,60,7,18,1977,19,PE,M,20,NA,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
old,61,7,18,1977,23,DM,M,35,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
old,62,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,63,8,19,1977,3,DM,M,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
old,64,8,19,1977,7,DM,M,37,48,Dipodomys,merriami,Rodent,Rodent Exclosure
old,65,8,19,1977,4,DM,F,34,29,Dipodomys,merriami,Rodent,Control
old,66,8,19,1977,4,DM,F,35,46,Dipodomys,merriami,Rodent,Control
old,67,8,19,1977,7,DM,M,35,36,Dipodomys,merriami,Rodent,Rodent Exclosure
old,68,8,19,1977,8,DO,F,32,52,Dipodomys,ordii,Rodent,Control
old,69,8,19,1977,2,PF,M,15,8,Perognathus,flavus,Rodent,Control
old,70,8,19,1977,3,OX,F,21,22,Onychomys,sp.,Rodent,Long-term Krat Exclosure
old,71,8,19,1977,7,DM,F,36,35,Dipodomys,merriami,Rodent,Rodent Exclosure
old,72,8,19,1977,2,NL,M,31,NA,Neotoma,albigula,Rodent,Control
