"censusdate","abundance","scientificname"
1979-09-22,0,"Baiomys taylori"
1979-09-22,16,"Dipodomys merriami"
1979-09-22,0,"Dipodomys ordii"
1979-09-22,11,"Dipodomys spectabilis"
1979-09-22,1,"Neotoma albigula"
1979-09-22,3,"Onychomys leucogaster"
1979-09-22,10,"Onychomys torridus"
1979-09-22,0,"Chaetodipus baileyi"
1979-09-22,0,"Peromyscus eremicus"
1979-09-22,1,"Perognathus flavus"
1979-09-22,0,"Chaetodipus hispidus"
1979-09-22,0,"Chaetodipus intermedius"
1979-09-22,0,"Peromyscus leucopus"
1979-09-22,0,"Peromyscus maniculatus"
1979-09-22,2,"Chaetodipus penicillatus"
1979-09-22,0,"Reithrodontomys fulvescens"
1979-09-22,0,"Reithrodontomys megalotis"
1979-09-22,0,"Reithrodontomys montanus"
1979-09-22,0,"Sigmodon fulviventer"
1979-09-22,0,"Sigmodon hispidus"
1979-09-22,0,"Sigmodon ochrognathus"
1979-10-24,0,"Baiomys taylori"
1979-10-24,14,"Dipodomys merriami"
1979-10-24,5,"Dipodomys ordii"
1979-10-24,15,"Dipodomys spectabilis"
1979-10-24,5,"Neotoma albigula"
1979-10-24,0,"Onychomys leucogaster"
1979-10-24,6,"Onychomys torridus"
1979-10-24,0,"Chaetodipus baileyi"
1979-10-24,1,"Peromyscus eremicus"
1979-10-24,0,"Perognathus flavus"
1979-10-24,0,"Chaetodipus hispidus"
1979-10-24,0,"Chaetodipus intermedius"
1979-10-24,0,"Peromyscus leucopus"
1979-10-24,0,"Peromyscus maniculatus"
1979-10-24,1,"Chaetodipus penicillatus"
1979-10-24,0,"Reithrodontomys fulvescens"
1979-10-24,0,"Reithrodontomys megalotis"
1979-10-24,0,"Reithrodontomys montanus"
1979-10-24,0,"Sigmodon fulviventer"
1979-10-24,0,"Sigmodon hispidus"
1979-10-24,0,"Sigmodon ochrognathus"
1979-11-17,0,"Baiomys taylori"
1979-11-17,20,"Dipodomys merriami"
1979-11-17,3,"Dipodomys ordii"
1979-11-17,11,"Dipodomys spectabilis"
1979-11-17,4,"Neotoma albigula"
1979-11-17,9,"Onychomys leucogaster"
1979-11-17,7,"Onychomys torridus"
1979-11-17,0,"Chaetodipus baileyi"
1979-11-17,1,"Peromyscus eremicus"
1979-11-17,1,"Perognathus flavus"
1979-11-17,0,"Chaetodipus hispidus"
1979-11-17,0,"Chaetodipus intermedius"
1979-11-17,0,"Peromyscus leucopus"
1979-11-17,1,"Peromyscus maniculatus"
1979-11-17,1,"Chaetodipus penicillatus"
1979-11-17,0,"Reithrodontomys fulvescens"
1979-11-17,3,"Reithrodontomys megalotis"
1979-11-17,0,"Reithrodontomys montanus"
1979-11-17,0,"Sigmodon fulviventer"
1979-11-17,0,"Sigmodon hispidus"
1979-11-17,0,"Sigmodon ochrognathus"
1980-01-15,0,"Baiomys taylori"
1980-01-15,31,"Dipodomys merriami"
1980-01-15,7,"Dipodomys ordii"
1980-01-15,11,"Dipodomys spectabilis"
1980-01-15,5,"Neotoma albigula"
1980-01-15,12,"Onychomys leucogaster"
1980-01-15,5,"Onychomys torridus"
1980-01-15,0,"Chaetodipus baileyi"
1980-01-15,0,"Peromyscus eremicus"
1980-01-15,3,"Perognathus flavus"
1980-01-15,0,"Chaetodipus hispidus"
1980-01-15,0,"Chaetodipus intermedius"
1980-01-15,0,"Peromyscus leucopus"
1980-01-15,0,"Peromyscus maniculatus"
1980-01-15,0,"Chaetodipus penicillatus"
1980-01-15,0,"Reithrodontomys fulvescens"
1980-01-15,1,"Reithrodontomys megalotis"
1980-01-15,0,"Reithrodontomys montanus"
1980-01-15,0,"Sigmodon fulviventer"
1980-01-15,0,"Sigmodon hispidus"
1980-01-15,0,"Sigmodon ochrognathus"
1980-02-24,0,"Baiomys taylori"
1980-02-24,15,"Dipodomys merriami"
1980-02-24,6,"Dipodomys ordii"
